t,T,P
0,27.6,100525
0.5,27.6,100527
1,27.6,100523
1.5,27.6,100527
2,27.6,100525
2.5,27.5,100525
3,27.6,100530
3.5,27.6,100525
4,27.6,100525
4.5,27.6,100526
5,27.6,100523
5.5,27.6,100525
6,27.6,100527
6.5,27.6,100526
7,27.6,100524
7.5,27.6,100525
8,27.6,100523
8.5,27.5,100527
9,27.6,100527
9.5,27.6,100530
10,27.6,100523
10.5,27.5,100528
11,27.6,100526
11.5,27.6,100524
12,27.6,100526
12.5,27.6,100527
13,27.5,100526
13.5,27.6,100526
14,27.6,100529
14.5,27.5,100531
15,27.6,100529
15.5,27.6,100529
16,27.6,100526
16.5,27.6,100525
17,27.6,100523
17.5,27.6,100531
18,27.6,100528
18.5,27.6,100528
19,27.6,100531
19.5,27.5,100528
20,27.5,100528
20.5,27.6,100527
21,27.6,100525
21.5,27.6,100527
22,27.6,100526
22.5,27.6,100527
23,27.6,100522
23.5,27.6,100526
24,27.6,100524
24.5,27.6,100529
25,27.6,100526
25.5,27.6,100526
26,27.6,100528
26.5,27.6,100527
27,27.6,100528
27.5,27.6,100529
28,27.6,100531
28.5,27.6,100528
29,27.6,100525
29.5,27.6,100531
30,27.6,100530
30.5,27.6,100527
31,27.6,100528
31.5,27.6,100530
32,27.6,100530
32.5,27.6,100524
33,27.6,100528
33.5,27.6,100529
34,27.6,100529
34.5,27.6,100527
35,27.6,100529
35.5,27.6,100532
36,27.6,100526
36.5,27.6,100531
37,27.6,100530
37.5,27.6,100529
38,27.6,100529
38.5,27.6,100528
39,27.6,100526
39.5,27.6,100530
40,27.6,100528
40.5,27.6,100535
41,27.5,100531
41.5,27.6,100530
42,27.6,100532
42.5,27.6,100533
43,27.6,100529
43.5,27.6,100527
44,27.6,100526
44.5,27.6,100527
45,27.6,100531
45.5,27.6,100525
46,27.6,100531
46.5,27.6,100528
47,27.6,100526
47.5,27.6,100532
48,27.6,100528
48.5,27.6,100532
49,27.6,100528
49.5,27.6,100527
50,27.6,100529
50.5,27.5,100526
51,27.5,100533
51.5,27.6,100534
52,27.6,100531
52.5,27.6,100529
53,27.6,100530
53.5,27.6,100530
54,27.6,100526
54.5,27.6,100532
55,27.6,96848
55.5,27.6,86648
56,27.6,78352
56.5,27.6,70954
57,27.7,64397
57.5,27.7,58601
58,27.7,53423
58.5,27.7,48778
59,27.7,44617
59.5,27.7,40887
60,27.7,37531
60.5,27.7,34497
61,27.7,31774
61.5,27.7,29319
62,27.7,27135
62.5,27.7,25176
63,27.7,23389
63.5,27.7,21763
64,27.7,20272
64.5,27.7,18924
65,27.7,17704
65.5,27.7,16603
66,27.7,15588
66.5,27.7,14684
67,27.7,13869
67.5,27.7,13117
68,27.7,12446
68.5,27.7,11823
69,27.7,11256
69.5,27.7,10754
70,27.8,10295
70.5,27.7,9866
71,27.8,9490
71.5,27.7,9139
72,27.8,8818
72.5,27.8,8526
73,27.8,8238
73.5,27.8,7961
74,27.8,7735
74.5,27.8,7476
75,27.8,7250
75.5,27.8,7043
76,27.8,6836
76.5,27.8,6660
77,27.8,6501
77.5,27.8,6359
78,27.8,6226
78.5,27.8,6072
79,27.8,5942
79.5,27.8,5821
80,27.8,5706
80.5,27.8,5613
81,27.8,5513
81.5,27.8,5411
82,27.8,5317
82.5,27.8,5238
83,27.8,5182
83.5,27.8,5079
84,27.8,5012
84.5,27.8,4972
85,27.8,4882
85.5,27.8,4807
86,27.8,4745
86.5,27.8,4678
87,27.8,4618
87.5,27.8,4561
88,27.8,4515
88.5,27.8,4462
89,27.8,4417
89.5,27.8,4424
90,27.8,4413
90.5,27.8,4373
91,27.8,4348
91.5,27.8,4351
92,27.8,4355
92.5,27.8,4356
93,27.9,4326
93.5,27.8,4310
94,27.8,4305
94.5,27.8,4288
95,27.9,4273
95.5,27.8,4280
96,27.9,4278
96.5,27.9,4224
97,27.8,4225
97.5,27.9,4232
98,27.9,4230
98.5,27.9,4191
99,27.8,4159
99.5,27.9,4125
100,27.9,4127
100.5,27.9,4093
101,27.9,4090
101.5,27.9,4082
102,27.9,4058
102.5,27.9,4056
103,27.9,4060
103.5,27.9,4067
104,27.8,4058
104.5,27.9,4069
105,27.9,4053
105.5,27.9,4035
106,27.9,4011
106.5,27.9,4001
107,27.9,3999
107.5,27.9,3996
108,27.9,3998
108.5,27.9,3990
109,27.9,3958
109.5,27.9,3962
110,27.9,3957
110.5,27.9,3957
111,27.9,3957
111.5,27.9,3948
112,27.9,3952
112.5,27.9,3954
113,27.9,3958
113.5,27.9,3947
